RespondentID,Age,Gender,Education,UrbanRural,HealthcareFacilities,SmokingStatus,PhysicalActivities,MedicalConditions,HealthDescription,Acceptability,SideEffectsCov,GoverTrust,Choiceset,Alt,WaitTime,VaccineOrigin,VaccineEfficacy,SideEffects,CashIncentives,Choice,ASC_optout,WaitTime_std,VaccineEfficacy_std,SideEffects_std,CashIncentives_std,chid,alt,age_encoded,gender_encoded,edu_encoded,trust_encoded,med_encoded,med_missing,sidecov_encoded,sidecov_missing,smoking_label,physical_label,side_effect_label
1,55-65,F,College or University,1,1,2,1,0,5,1,0,-1,1,A,2,0,0.5,2,800,1,0,0.157490141,0.059213495,0.575463074,1.821050686,1_1,A,4,0,5,2.0,0.0,0,0.0,0,Current,Occasional,Moderate
1,55-65,F,College or University,1,1,2,1,0,5,1,0,-1,1,B,6,1,0.7,3,50,0,0,1.970858403,0.599900418,1.440764066,-0.586440051,1_1,B,4,0,5,2.0,0.0,0,0.0,0,Current,Occasional,Severe
1,55-65,F,College or University,1,1,2,1,0,5,1,0,-1,1,C,0,0,0.0,0,0,0,1,-0.74919399,-1.292503811,-1.155138909,-0.746939434,1_1,C,4,0,5,2.0,0.0,0,0.0,0,Current,Occasional,None
1,55-65,F,College or University,1,1,2,1,0,5,1,0,-1,2,A,3,0,0.7,1,200,0,0,0.610832207,0.599900418,-0.289837917,-0.104941904,1_2,A,4,0,5,2.0,0.0,0,0.0,0,Current,Occasional,Mild
1,55-65,F,College or University,1,1,2,1,0,5,1,0,-1,2,B,0,0,0.5,2,50,1,0,-0.74919399,0.059213495,0.575463074,-0.586440051,1_2,B,4,0,5,2.0,0.0,0,0.0,0,Current,Occasional,Moderate
1,55-65,F,College or University,1,1,2,1,0,5,1,0,-1,2,C,0,0,0.0,0,0,0,1,-0.74919399,-1.292503811,-1.155138909,-0.746939434,1_2,C,4,0,5,2.0,0.0,0,0.0,0,Current,Occasional,None
1,55-65,F,College or University,1,1,2,1,0,5,1,0,-1,3,A,3,1,0.7,3,200,0,0,0.610832207,0.599900418,1.440764066,-0.104941904,1_3,A,4,0,5,2.0,0.0,0,0.0,0,Current,Occasional,Severe
1,55-65,F,College or University,1,1,2,1,0,5,1,0,-1,3,B,1,1,0.95,1,800,0,0,-0.295851925,1.275759071,-0.289837917,1.821050686,1_3,B,4,0,5,2.0,0.0,0,0.0,0,Current,Occasional,Mild
1,55-65,F,College or University,1,1,2,1,0,5,1,0,-1,3,C,0,0,0.0,0,0,1,1,-0.74919399,-1.292503811,-1.155138909,-0.746939434,1_3,C,4,0,5,2.0,0.0,0,0.0,0,Current,Occasional,None
1,55-65,F,College or University,1,1,2,1,0,5,1,0,-1,4,A,0,1,0.95,3,800,1,0,-0.74919399,1.275759071,1.440764066,1.821050686,1_4,A,4,0,5,2.0,0.0,0,0.0,0,Current,Occasional,Severe
1,55-65,F,College or University,1,1,2,1,0,5,1,0,-1,4,B,3,0,0.7,3,200,0,0,0.610832207,0.599900418,1.440764066,-0.104941904,1_4,B,4,0,5,2.0,0.0,0,0.0,0,Current,Occasional,Severe
1,55-65,F,College or University,1,1,2,1,0,5,1,0,-1,4,C,0,0,0.0,0,0,0,1,-0.74919399,-1.292503811,-1.155138909,-0.746939434,1_4,C,4,0,5,2.0,0.0,0,0.0,0,Current,Occasional,None
1,55-65,F,College or University,1,1,2,1,0,5,1,0,-1,5,A,1,0,0.5,1,50,0,0,-0.295851925,0.059213495,-0.289837917,-0.586440051,1_5,A,4,0,5,2.0,0.0,0,0.0,0,Current,Occasional,Mild
1,55-65,F,College or University,1,1,2,1,0,5,1,0,-1,5,B,6,0,0.95,1,200,1,0,1.970858403,1.275759071,-0.289837917,-0.104941904,1_5,B,4,0,5,2.0,0.0,0,0.0,0,Current,Occasional,Mild
1,55-65,F,College or University,1,1,2,1,0,5,1,0,-1,5,C,0,0,0.0,0,0,0,1,-0.74919399,-1.292503811,-1.155138909,-0.746939434,1_5,C,4,0,5,2.0,0.0,0,0.0,0,Current,Occasional,None
1,55-65,F,College or University,1,1,2,1,0,5,1,0,-1,6,A,6,1,0.95,2,800,1,0,1.970858403,1.275759071,0.575463074,1.821050686,1_6,A,4,0,5,2.0,0.0,0,0.0,0,Current,Occasional,Moderate
1,55-65,F,College or University,1,1,2,1,0,5,1,0,-1,6,B,1,1,0.5,2,50,0,0,-0.295851925,0.059213495,0.575463074,-0.586440051,1_6,B,4,0,5,2.0,0.0,0,0.0,0,Current,Occasional,Moderate
1,55-65,F,College or University,1,1,2,1,0,5,1,0,-1,6,C,0,0,0.0,0,0,0,1,-0.74919399,-1.292503811,-1.155138909,-0.746939434,1_6,C,4,0,5,2.0,0.0,0,0.0,0,Current,Occasional,None
2,65 above,F,Middle school,1,1,2,1,0,4,0,nan,,1,A,0,1,0.5,2,200,1,0,-0.74919399,0.059213495,0.575463074,-0.104941904,2_1,A,5,0,3,,0.0,0,,1,Current,Occasional,Moderate
2,65 above,F,Middle school,1,1,2,1,0,4,0,nan,,1,B,3,0,0.95,2,50,0,0,0.610832207,1.275759071,0.575463074,-0.586440051,2_1,B,5,0,3,,0.0,0,,1,Current,Occasional,Moderate
2,65 above,F,Middle school,1,1,2,1,0,4,0,nan,,1,C,0,0,0.0,0,0,0,1,-0.74919399,-1.292503811,-1.155138909,-0.746939434,2_1,C,5,0,3,,0.0,0,,1,Current,Occasional,None
2,65 above,F,Middle school,1,1,2,1,0,4,0,nan,,2,A,3,0,0.7,3,50,0,0,0.610832207,0.599900418,1.440764066,-0.586440051,2_2,A,5,0,3,,0.0,0,,1,Current,Occasional,Severe
2,65 above,F,Middle school,1,1,2,1,0,4,0,nan,,2,B,6,1,0.5,1,800,0,0,1.970858403,0.059213495,-0.289837917,1.821050686,2_2,B,5,0,3,,0.0,0,,1,Current,Occasional,Mild
2,65 above,F,Middle school,1,1,2,1,0,4,0,nan,,2,C,0,0,0.0,0,0,1,1,-0.74919399,-1.292503811,-1.155138909,-0.746939434,2_2,C,5,0,3,,0.0,0,,1,Current,Occasional,None
2,65 above,F,Middle school,1,1,2,1,0,4,0,nan,,3,A,1,0,0.7,3,50,0,0,-0.295851925,0.599900418,1.440764066,-0.586440051,2_3,A,5,0,3,,0.0,0,,1,Current,Occasional,Severe
2,65 above,F,Middle school,1,1,2,1,0,4,0,nan,,3,B,1,0,0.95,2,200,1,0,-0.295851925,1.275759071,0.575463074,-0.104941904,2_3,B,5,0,3,,0.0,0,,1,Current,Occasional,Moderate
2,65 above,F,Middle school,1,1,2,1,0,4,0,nan,,3,C,0,0,0.0,0,0,0,1,-0.74919399,-1.292503811,-1.155138909,-0.746939434,2_3,C,5,0,3,,0.0,0,,1,Current,Occasional,None
2,65 above,F,Middle school,1,1,2,1,0,4,0,nan,,4,A,0,1,0.5,1,800,1,0,-0.74919399,0.059213495,-0.289837917,1.821050686,2_4,A,5,0,3,,0.0,0,,1,Current,Occasional,Mild
2,65 above,F,Middle school,1,1,2,1,0,4,0,nan,,4,B,6,1,0.95,2,200,0,0,1.970858403,1.275759071,0.575463074,-0.104941904,2_4,B,5,0,3,,0.0,0,,1,Current,Occasional,Moderate
2,65 above,F,Middle school,1,1,2,1,0,4,0,nan,,4,C,0,0,0.0,0,0,0,1,-0.74919399,-1.292503811,-1.155138909,-0.746939434,2_4,C,5,0,3,,0.0,0,,1,Current,Occasional,None
2,65 above,F,Middle school,1,1,2,1,0,4,0,nan,,5,A,6,0,0.7,3,50,0,0,1.970858403,0.599900418,1.440764066,-0.586440051,2_5,A,5,0,3,,0.0,0,,1,Current,Occasional,Severe
2,65 above,F,Middle school,1,1,2,1,0,4,0,nan,,5,B,3,0,0.95,1,800,0,0,0.610832207,1.275759071,-0.289837917,1.821050686,2_5,B,5,0,3,,0.0,0,,1,Current,Occasional,Mild
2,65 above,F,Middle school,1,1,2,1,0,4,0,nan,,5,C,0,0,0.0,0,0,1,1,-0.74919399,-1.292503811,-1.155138909,-0.746939434,2_5,C,5,0,3,,0.0,0,,1,Current,Occasional,None
2,65 above,F,Middle school,1,1,2,1,0,4,0,nan,,6,A,0,1,0.7,3,200,1,0,-0.74919399,0.599900418,1.440764066,-0.104941904,2_6,A,5,0,3,,0.0,0,,1,Current,Occasional,Severe
2,65 above,F,Middle school,1,1,2,1,0,4,0,nan,,6,B,1,1,0.5,1,800,0,0,-0.295851925,0.059213495,-0.289837917,1.821050686,2_6,B,5,0,3,,0.0,0,,1,Current,Occasional,Mild
